-2681,-1378,5685
1394,475,5835
5868,2967,4516
6102,3759,1672
3993,3435,-2613
3227,3264,-5760
3937,3581,-8296
5303,3824,-10794
7032,5147,-13669
6137,6003,-16181
3067,4947,-19525
1168,4120,-23792
2092,5526,-27636
3505,5910,-30350
5329,7374,-31330
7418,9776,-31665
6523,10693,-31998
7035,10916,-31536
8300,12395,-31003
7478,10564,-31025
6052,8865,-29325
4712,7740,-26180
3564,6486,-23225
3234,6380,-20697
2136,5410,-17675
2204,5043,-16139
2578,5283,-16867
2354,5087,-16285
2296,4698,-14893
2503,5458,-14450
2889,6165,-14465
2561,5088,-16326
2809,5397,-18054
2796,5040,-18823
2653,4702,-18350
2856,4706,-17250
2654,3920,-14741
2149,3371,-12033
1814,2863,-10619
1033,1205,-8937
481,329,-6508
59,-47,-5003
229,993,-2319
488,2671,142
1178,3848,2825
1503,4543,6892
2218,6287,10908
3013,6999,18929
1363,4261,29701
1199,3876,32767
-3225,-1013,32767
-6251,-1870,32767
-9553,-4836,32767
-12400,-6992,32767
-14673,-7685,32767
-16794,-8044,32767
-14105,-6753,32767
-8165,-3591,32767
-5273,-3946,32767
-3693,-4246,32767
-1433,-2251,32767
2012,-2131,32767
2209,-1085,32767
2098,-2709,32767
-801,-2249,30904
-4050,-2538,23748
-7421,-3817,19916
-7834,-3314,18446
-5610,-4428,17859
-1846,-1874,16383
491,-1065,13178
346,-752,9549
0,-886,6969
-214,-543,5770
-781,-220,5099
-1283,-237,3992
-2730,110,2046
-4358,50,19
-5999,16,-1782
-7017,-104,-3685
-4836,-94,-5760
-5843,-1149,-8247
-5640,-1439,-11475
-410,-818,-15521
2621,-386,-21112
1788,317,-25810
314,319,-31958
5022,2996,-32768
7478,5282,-32768
4766,4678,-32768
1889,4530,-32768
-239,5603,-32768
-882,6000,-32768
-1323,5582,-32768
-1537,4846,-32768
1070,6267,-32768
4725,9931,-32768
7060,11929,-32768
6164,10297,-32768
5758,7946,-32768
5412,7512,-32768
5316,6062,-32626
3803,4979,-26909
3492,3552,-22578
2700,2500,-20472
3051,1913,-18414
2377,1179,-16030
2263,864,-13640
1814,867,-10846
1351,697,-8725
1222,1153,-5700
1064,2806,-1659
785,3407,1022
296,2517,2416
1245,3884,10006
2163,7847,20422
301,7506,32767
916,6578,32767
480,4601,32767
-3660,-1263,32767
-11953,-3097,32767
-10665,-7195,32767
-13012,-9336,32767
-14216,-9462,32767
-9119,-8792,32767
-8144,-4967,32767
-9601,-6334,32767
-12443,-8354,32767
-7936,-10097,32767
-5623,-8428,32767
-8063,-6450,31095
-8474,-6155,23599
-2118,-1587,15301
-815,-931,7976
-3369,-1091,3841
-4043,-638,734
-2322,-552,1520
370,661,2668
868,389,4001
2508,-680,6254
3100,32,5933
3152,-80,4906
4024,419,1953
1979,690,-2264
3294,1283,-8039
8568,2609,-16776
9575,4293,-25077
6652,4337,-30228
2971,4192,-32768
-319,4049,-32768
-2397,3358,-32768
-5114,4096,-32768
-7130,4568,-32768
-8433,3046,-32768
-7429,1906,-32768
-6438,1899,-32768
-3990,1920,-32768
-2304,1645,-32768
-876,1443,-32768
1128,4366,-29759
1670,6504,-25443
2992,7490,-22578
2324,5741,-19737
1306,3549,-15499
1219,2578,-12528
953,2587,-10258
1440,2572,-8821
1606,2885,-7425
1169,1759,-5789
263,487,-4403
161,479,-3135
112,660,-1968
346,1985,-646
92,1101,-26
-78,917,248
-108,1804,1159
-323,1841,1551
-790,1606,3644
-2037,-1767,10445
-2997,-3481,13648
-1820,-297,14352
-784,2596,13391
448,5439,9570
689,6404,6662
1368,7308,6653
2149,9223,6150
3360,11271,3954
4033,12912,2166
4910,14462,2038
4688,13941,1476
4220,12934,936
3954,12092,2179
5554,12944,7256
5921,13362,9212
5098,11107,13361
3510,8345,18975
2334,6093,19763
2228,5953,18022
2722,6576,16817
2919,7788,15255
4320,8985,13441
